Store_ID,Platform,Product_Count,Monthly_Revenue,Avg_Discount_%,Return_Rate_%
1,OpenCart,307,83309.0,21.65,7.36
2,Unicommerce,56,657279.0,19.04,22.14
3,Martjack,164,227841.0,18.24,13.46
4,Instamojo,141,89650.0,18.96,18.91
5,Dukaan,187,597978.0,12.1,15.58
6,Instamojo,1107,329940.0,4.08,1.56
7,Shopmatic,350,77452.0,19.13,3.89
8,Shopmatic,41,249232.0,2.72,30.13
9,OpenCart,116,238869.0,16.46,9.11
10,Weebly,104,93054.0,13.58,8.03
11,Paytm Mall,184,50000.0,6.45,17.83
12,Unicommerce,318,50000.0,15.8,10.17
13,Zepo,178,126999.0,17.77,18.95
14,Volusion,531,113628.0,23.21,19.19
15,Shopmatic,81,126954.0,15.29,10.1
16,OpenCart,318,231529.0,28.65,8.65
17,Magento,568,50000.0,16.98,22.59
18,Dukaan,43,257928.0,5.71,14.04
19,Magento,72,103266.0,2.29,10.8
20,Magento,148,246198.0,18.43,14.93
21,Unicommerce,125,181272.0,7.35,10.45
22,Zepo,60,165686.0,1.4,9.23
23,PrestaShop,170,150661.0,14.32,21.18
24,Zepo,32,144179.0,11.95,14.39
25,Squarespace,94,68713.0,16.77,16.83
26,Kartify,106,52082.0,19.79,17.08
27,Kartrocket,640,565984.0,29.63,14.18
28,Martjack,124,682521.0,14.39,18.45
29,Zepo,75,70211.0,24.69,18.86
30,StoreHippo,174,148099.0,4.59,3.25
31,Custom,103,101662.0,14.79,16.2
32,BigCommerce,196,60084.0,11.42,15.1
33,Kartify,137,320959.0,16.18,12.61
34,Kartify,193,105240.0,17.52,12.99
35,Shopmatic,137,711059.0,8.81,4.17
36,Volusion,131,477712.0,24.2,10.43
37,BigCommerce,147,875724.0,1.71,15.18
38,Shopmatic,62,277504.0,4.76,7.94
39,BigCommerce,45,157176.0,14.86,11.7
40,Kartrocket,771,112011.0,31.24,14.02
41,Martjack,361,153039.0,2.81,6.6
42,Paytm Mall,1064,578115.0,10.07,11.01
43,Squarespace,133,161739.0,15.18,24.72
44,StoreHippo,165,393065.0,8.64,7.25
45,StoreHippo,184,223445.0,24.45,12.41
46,Paytm Mall,52,134181.0,14.74,19.66
47,Unicommerce,135,56720.0,2.94,15.67
48,Unicommerce,157,139518.0,5.75,22.61
49,Unicommerce,148,107194.0,5.25,18.79
50,Dukaan,200,55883.0,21.94,7.14
51,Shopmatic,164,353378.0,7.4,10.01
52,StoreHippo,38,326391.0,18.41,12.19
53,Paytm Mall,67,368662.0,20.55,18.95
54,Volusion,91,330782.0,23.63,5.84
55,Magento,994,65017.0,21.8,18.15
56,Custom,244,89988.0,7.66,11.32
57,PrestaShop,42,50000.0,10.77,14.28
58,Instamojo,346,152127.0,3.84,18.72
59,OpenCart,159,613433.0,13.82,7.88
60,PrestaShop,116,171293.0,20.37,4.09
61,Volusion,122,88432.0,20.58,17.94
62,WooCommerce,199,1286570.0,11.5,16.11
63,Martjack,639,79244.0,19.58,6.21
64,PrestaShop,771,72834.0,3.55,16.58
65,Unicommerce,174,872150.0,24.8,10.07
66,Unicommerce,901,174452.0,17.91,27.32
67,OpenCart,325,1324398.0,11.6,4.64
68,Instamojo,119,86978.0,3.22,20.8
69,Weebly,547,89124.0,15.72,3.48
70,StoreHippo,452,65239.0,25.08,17.47
71,Kartrocket,691,372747.0,23.01,14.8
72,Unicommerce,54,117775.0,12.42,3.95
73,Instamojo,935,93124.0,9.38,8.87
74,Instamojo,189,93520.0,6.15,18.95
75,Paytm Mall,32,952852.0,5.1,18.13
76,Shopify,43,122519.0,14.77,5.89
77,Dukaan,773,110101.0,19.57,27.02
78,Dukaan,1144,50000.0,6.76,11.03
79,StoreHippo,159,253940.0,15.62,5.07
80,Zepo,973,1624588.0,10.75,21.9
81,BigCommerce,77,50000.0,13.34,10.23
82,Zepo,549,60798.0,13.19,10.42
83,Instamojo,108,251055.0,17.47,27.17
84,Instamojo,77,119469.0,25.28,2.47
85,Kartify,120,60736.0,27.28,7.45
86,Weebly,195,443972.0,4.87,8.99
87,StoreHippo,51,160164.0,17.24,21.37
88,Martjack,104,340172.0,17.84,6.76
89,WooCommerce,102,186935.0,18.34,8.05
90,PrestaShop,691,50000.0,21.52,0.86
91,Weebly,212,50000.0,2.89,8.24
92,Volusion,287,74741.0,13.12,19.57
93,OpenCart,47,596592.0,14.19,19.36
94,StoreHippo,160,105910.0,17.83,19.15
95,StoreHippo,126,183223.0,11.46,15.79
96,Unicommerce,50,100436.0,7.57,13.67
97,Dukaan,391,1016143.0,9.76,3.41
98,Martjack,99,50000.0,4.19,7.66
99,Magento,99,50000.0,13.21,11.26
