Store_ID,Platform,Product_Count,Monthly_Revenue,Avg_Discount_%,Return_Rate_%
1,OpenCart,128,1966334,8.13,8.61
2,Kartify,755,717565,21.39,1.55
3,StoreHippo,297,170243,5.99,4.52
4,Zepo,87,1057378,19.94,4.08
5,Volusion,88,1897756,26.74,6.87
6,OpenCart,184,988601,27.27,2.5
7,Instamojo,508,446308,16.23,6.4
8,Zepo,324,1151887,16.48,8.77
9,Zepo,928,72692,6.92,4.18
10,Custom,693,1747818,21.77,9.11
11,Volusion,384,729222,25.53,9.93
12,Magento,873,442179,11.12,1.06
13,WooCommerce,840,271468,15.53,2.33
14,Kartrocket,398,1440227,25.97,9.5
15,PrestaShop,362,130152,26.93,9.58
16,WooCommerce,966,513685,11.08,0.98
17,Shopify,918,1627790,18.76,0.15
18,Kartrocket,573,1058803,9.81,1.61
19,Kartrocket,373,53969,7.55,9.96
20,Paytm Mall,435,1134309,27.78,1.8
21,Weebly,128,381999,25.51,5.03
22,Shopmatic,582,91743,24,8.48
23,StoreHippo,781,1753057,6.22,0.2
24,StoreHippo,516,220948,26.09,6.04
25,Instamojo,360,943877,15.95,2.77
26,Kartrocket,961,70323,13.56,8.62
27,Kartify,402,1621869,18.66,2.83
28,Magento,552,1377148,7.28,6.87
29,BigCommerce,319,608866,23.92,6.74
30,Instamojo,158,1709350,19.56,2.21
31,OpenCart,378,551793,9.66,0.35
32,Squarespace,855,376284,9.71,4.09
33,OpenCart,518,1880314,9.61,2.89
34,Dukaan,404,1730189,6.43,8.09
35,Custom,623,1968837,19.69,8
36,Unicommerce,978,318508,26.01,4.57
37,Dukaan,299,441011,5.44,6.07
38,Squarespace,656,1527141,6.23,6.04
39,WooCommerce,502,1754627,19.32,8.27
40,Kartify,928,832259,25.49,4.25
41,StoreHippo,130,1718462,13.17,2.75
42,OpenCart,885,1820403,13.74,2.65
43,Kartrocket,158,226968,19.91,5.36
44,Volusion,454,107062,11.86,4.49
45,StoreHippo,528,1326914,5.67,4.4
46,Magento,292,785122,23.38,0.91
47,Unicommerce,118,719221,20.64,7.19
48,Paytm Mall,783,1326485,19.52,2.14
49,Custom,869,556995,23.54,1.97
50,Dukaan,123,138302,21.88,4.13
